,url
328,https://www.goodreads.com//book/show/22852698-the-liar-s-key
329,https://www.goodreads.com//book/show/234225.Dune
330,https://www.goodreads.com//book/show/568099.Waylander
331,https://www.goodreads.com//book/show/14497.Neverwhere
332,https://www.goodreads.com//book/show/32628.The_Great_and_Secret_Show
333,https://www.goodreads.com//book/show/7347.The_Book_of_Lost_Tales_Part_One
334,https://www.goodreads.com//book/show/18002053-the-return-of-the-dragons
335,https://www.goodreads.com//book/show/15761926-in-the-devil-s-own-words
336,https://www.goodreads.com//book/show/20923990-the-lone-apprentice
337,https://www.goodreads.com//book/show/28735.By_the_Sword
338,https://www.goodreads.com//book/show/9245759-the-lament-of-the-stone
339,https://www.goodreads.com//book/show/5096.Wizard_and_Glass
340,https://www.goodreads.com//book/show/13922.Wolfskin
341,https://www.goodreads.com//book/show/13497.A_Feast_for_Crows
342,https://www.goodreads.com//book/show/15549.Armageddon_s_Children
343,https://www.goodreads.com//book/show/104086.The_Summer_Tree
344,https://www.goodreads.com//book/show/15744546-parish-secrets
345,https://www.goodreads.com//book/show/33913854-the-false-prophet
346,https://www.goodreads.com//book/show/6585201-changes
347,https://www.goodreads.com//book/show/60211.The_Shadow_of_the_Torturer
348,https://www.goodreads.com//book/show/400924.Chronicles_of_the_Black_Company
349,https://www.goodreads.com//book/show/39063.Titus_Groan
350,https://www.goodreads.com//book/show/28733.Take_a_Thief
351,https://www.goodreads.com//book/show/45110.Shaman_s_Crossing
352,https://www.goodreads.com//book/show/18392.The_Lost_Years_of_Merlin
353,https://www.goodreads.com//book/show/13616278-the-red-knight
354,https://www.goodreads.com//book/show/31305863-the-shadow-crucible
355,https://www.goodreads.com//book/show/399373.The_Swords_Trilogy
356,https://www.goodreads.com//book/show/40869.Suldrun_s_Garden
357,https://www.goodreads.com//book/show/4978.Wolves_of_the_Calla
358,https://www.goodreads.com//book/show/92121.Nine_Princes_in_Amber
359,https://www.goodreads.com//book/show/450692.Myrren_s_Gift
360,https://www.goodreads.com//book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass
361,https://www.goodreads.com//book/show/10754265-the-written
362,https://www.goodreads.com//book/show/613991.The_King_Beyond_the_Gate
363,https://www.goodreads.com//book/show/25744891-dragon-eaters
364,https://www.goodreads.com//book/show/13662.The_Tombs_of_Atuan
365,https://www.goodreads.com//book/show/15560.Ilse_Witch
366,https://www.goodreads.com//book/show/201341.Mossflower
367,https://www.goodreads.com//book/show/2767052-the-hunger-games
368,https://www.goodreads.com//book/show/1203471.The_Firebrand
369,https://www.goodreads.com//book/show/44170.The_Looking_Glass_Wars
370,https://www.goodreads.com//book/show/3218719-the-ruins-of-gorlan-the-burning-bridge-the-icebound-land
371,https://www.goodreads.com//book/show/27154427-the-wheel-of-osheim
372,https://www.goodreads.com//book/show/57213211-desert-outcast
373,https://www.goodreads.com//book/show/56236618-the-archon-of-peace
374,https://www.goodreads.com//book/show/25296.The_Dark_Mirror
375,https://www.goodreads.com//book/show/8942981-son-of-ereubus
376,https://www.goodreads.com//book/show/13667.The_Farthest_Shore
377,https://www.goodreads.com//book/show/1051620.The_Innocent_Mage
378,https://www.goodreads.com//book/show/2015492.Empress
379,https://www.goodreads.com//book/show/149302.Silverthorn
380,https://www.goodreads.com//book/show/1022658.The_Ladies_of_Mandrigyn
381,https://www.goodreads.com//book/show/2408602.The_Red_Wolf_Conspiracy
382,https://www.goodreads.com//book/show/18006496-queen-of-shadows
383,https://www.goodreads.com//book/show/13927.Son_of_the_Shadows
384,https://www.goodreads.com//book/show/505352.Ravenheart
385,https://www.goodreads.com//book/show/10445208-touch-of-power
386,https://www.goodreads.com//book/show/258392.Gormenghast
387,https://www.goodreads.com//book/show/40273980-avaland
388,https://www.goodreads.com//book/show/38343303-chasing-the-red-queen
389,https://www.goodreads.com//book/show/53172026-diplomat-of-uram
390,https://www.goodreads.com//book/show/21535271-the-slow-regard-of-silent-things
391,https://www.goodreads.com//book/show/97967.Mystic_and_Rider
392,https://www.goodreads.com//book/show/41423092-the-awakening
393,https://www.goodreads.com//book/show/30150701-redstone
394,https://www.goodreads.com//book/show/10165727-froi-of-the-exiles
395,https://www.goodreads.com//book/show/27837381-bluestone
396,https://www.goodreads.com//book/show/24148841-rise-of-the-flame
397,https://www.goodreads.com//book/show/6130616-the-magic-kingdom-of-landover-volume-1
398,https://www.goodreads.com//book/show/6657006-the-dwarves
399,https://www.goodreads.com//book/show/40500762-the-broken-sword
400,https://www.goodreads.com//book/show/13923.Blade_of_Fortriu
401,https://www.goodreads.com//book/show/10626594-the-scorpio-races
402,https://www.goodreads.com//book/show/153220.The_Broken_Crown
403,https://www.goodreads.com//book/show/18138189-tower-lord
404,https://www.goodreads.com//book/show/29247884-the-destroyer-2
405,https://www.goodreads.com//book/show/15775130-a-man-and-his-god
406,https://www.goodreads.com//book/show/47916.Obernewtyn
407,https://www.goodreads.com//book/show/2213661.The_Graveyard_Book
408,https://www.goodreads.com//book/show/13925.Child_of_the_Prophecy
409,https://www.goodreads.com//book/show/20174424-city-of-stairs
410,https://www.goodreads.com//book/show/144350.The_Battle_for_Skandia
411,https://www.goodreads.com//book/show/29394.Cursor_s_Fury
412,https://www.goodreads.com//book/show/40275288-the-priory-of-the-orange-tree
413,https://www.goodreads.com//book/show/18243700-the-assassin-s-blade
414,https://www.goodreads.com//book/show/24689551-the-ix
415,https://www.goodreads.com//book/show/8801543-among-thieves
416,https://www.goodreads.com//book/show/33022673-king-s-lament
417,https://www.goodreads.com//book/show/36617106-epic-of-lilith
418,https://www.goodreads.com//book/show/42778691-the-oracle-s-journal
419,https://www.goodreads.com//book/show/13737.The_Twelve_Kingdoms
420,https://www.goodreads.com//book/show/13810.Magician
421,https://www.goodreads.com//book/show/89553.Talion
422,https://www.goodreads.com//book/show/13503808-desolace
423,https://www.goodreads.com//book/show/29429881-the-ring-of-truth
424,https://www.goodreads.com//book/show/97126.The_Talisman_and_Black_House
425,https://www.goodreads.com//book/show/31549513-the-alchemists-of-loom
426,https://www.goodreads.com//book/show/35621414-city-of-skies
427,https://www.goodreads.com//book/show/187124.Running_with_the_Demon
428,https://www.goodreads.com//book/show/2873976-the-heart-of-the-stone
429,https://www.goodreads.com//book/show/15992857-baby
430,https://www.goodreads.com//book/show/17832472-the-dragon-god
431,https://www.goodreads.com//book/show/20887238-traitor-s-blade
432,https://www.goodreads.com//book/show/5091.The_Dark_Tower
433,https://www.goodreads.com//book/show/15992880-echo
434,https://www.goodreads.com//book/show/22878967-the-shadow-of-what-was-lost
435,https://www.goodreads.com//book/show/645023.Castle_of_Wizardry
436,https://www.goodreads.com//book/show/7011403-dragon-haven
437,https://www.goodreads.com//book/show/257054.Lion_of_Macedon
438,https://www.goodreads.com//book/show/13878.Prince_of_the_Blood
439,https://www.goodreads.com//book/show/216849.Lord_of_Snow_and_Shadows
440,https://www.goodreads.com//book/show/55398.House_of_Chains
441,https://www.goodreads.com//book/show/7973.Enchantment
442,https://www.goodreads.com//book/show/828878.The_Complete_Chronicles_of_Conan
443,https://www.goodreads.com//book/show/3777732-city-of-glass
444,https://www.goodreads.com//book/show/17927395-a-court-of-mist-and-fury
445,https://www.goodreads.com//book/show/13554702-mage-blood
446,https://www.goodreads.com//book/show/8606522-torn
447,https://www.goodreads.com//book/show/28507.Serpent_Mage
448,https://www.goodreads.com//book/show/676737.Grendel
449,https://www.goodreads.com//book/show/25194442-the-sons-of-thestian
450,https://www.goodreads.com//book/show/17450513-hunt-for-the-star
451,https://www.goodreads.com//book/show/11819066-traphis
452,https://www.goodreads.com//book/show/176892.The_Elvenbane
